Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),source_file
03/01/2026 10:00,GENESE,61753,58.43,-5.08,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,H Q,61844,63.89,0.38,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,HUD VL,61758,66.3,2.79,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,LONGIL,61762,68.48,4.96,-0.01,20260301damlbmp_zone.csv
03/01/2026 10:00,MHK VL,61756,64.91,1.4,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,MILLWD,61759,66.75,3.24,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,N.Y.C.,61761,67.0,3.49,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,NORTH,61755,64.59,1.08,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,NPX,61845,66.3,2.79,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,O H,61846,54.0,-8.89,0.62,20260301damlbmp_zone.csv
03/01/2026 10:00,PJM,61847,37.91,-1.9,23.7,20260301damlbmp_zone.csv
03/01/2026 10:00,WEST,61752,55.76,-7.75,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,CAPITL,61757,66.21,2.97,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,CENTRL,61754,61.41,-1.84,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,DUNWOD,61760,66.65,3.41,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,GENESE,61753,58.31,-4.93,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,H Q,61844,63.56,0.32,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,HUD VL,61758,66.09,2.85,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,LONGIL,61762,68.12,4.87,-0.01,20260301damlbmp_zone.csv
03/01/2026 11:00,MHK VL,61756,64.7,1.46,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,MILLWD,61759,66.53,3.29,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,N.Y.C.,61761,66.84,3.6,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,NORTH,61755,64.19,0.95,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,NPX,61845,66.02,2.78,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,O H,61846,54.45,-8.79,0.0,20260301damlbmp_zone.csv
03/01/2026 11:00,PJM,61847,40.45,-1.84,20.96,20260301damlbmp_zone.csv
03/01/2026 11:00,WEST,61752,55.71,-7.53,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,CAPITL,61757,64.49,3.01,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,CENTRL,61754,59.64,-1.84,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,DUNWOD,61760,64.98,3.5,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,GENESE,61753,56.62,-4.86,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,H Q,61844,61.73,0.25,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,HUD VL,61758,64.31,2.83,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,LONGIL,61762,66.47,4.98,-0.01,20260301damlbmp_zone.csv
03/01/2026 12:00,MHK VL,61756,62.71,1.23,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,MILLWD,61759,64.8,3.32,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,N.Y.C.,61761,65.11,3.63,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,NORTH,61755,62.28,0.8,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,NPX,61845,64.37,2.89,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,O H,61846,52.75,-8.73,0.0,20260301damlbmp_zone.csv
03/01/2026 12:00,PJM,61847,39.27,-1.78,20.43,20260301damlbmp_zone.csv
03/01/2026 12:00,WEST,61752,53.86,-7.63,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,CAPITL,61757,61.96,2.89,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,CENTRL,61754,57.12,-1.95,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,DUNWOD,61760,62.67,3.6,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,GENESE,61753,54.16,-4.9,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,H Q,61844,59.3,0.24,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,HUD VL,61758,61.96,2.89,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,LONGIL,61762,64.03,4.96,-0.01,20260301damlbmp_zone.csv
03/01/2026 13:00,MHK VL,61756,60.07,1.0,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,MILLWD,61759,62.43,3.36,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,N.Y.C.,61761,62.85,3.78,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,NORTH,61755,59.83,0.77,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,NPX,61845,63.1,2.95,-1.08,20260301damlbmp_zone.csv
03/01/2026 13:00,O H,61846,50.56,-8.5,0.0,20260301damlbmp_zone.csv
03/01/2026 13:00,PJM,61847,40.05,-1.71,17.3,20260301damlbmp_zone.csv
03/01/2026 13:00,WEST,61752,51.56,-7.5,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,CAPITL,61757,61.43,2.81,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,CENTRL,61754,56.74,-1.88,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,DUNWOD,61760,62.19,3.58,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,GENESE,61753,53.81,-4.81,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,H Q,61844,58.85,0.24,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,HUD VL,61758,61.54,2.93,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,LONGIL,61762,63.55,4.92,-0.01,20260301damlbmp_zone.csv
03/01/2026 14:00,MHK VL,61756,59.55,0.93,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,MILLWD,61759,62.01,3.4,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,N.Y.C.,61761,62.37,3.75,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,NORTH,61755,59.32,0.71,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,NPX,61845,61.49,2.87,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,O H,61846,50.18,-8.44,0.0,20260301damlbmp_zone.csv
03/01/2026 14:00,PJM,61847,38.7,-1.64,18.27,20260301damlbmp_zone.csv
03/01/2026 14:00,WEST,61752,51.11,-7.5,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,CAPITL,61757,59.36,2.77,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,CENTRL,61754,54.89,-1.7,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,DUNWOD,61760,59.81,3.22,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,GENESE,61753,52.17,-4.41,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,H Q,61844,56.81,0.23,0.0,20260301damlbmp_zone.csv
